file id,arch str,cfg name,C,N,train accuracy,validation accuracy,test accuracy
0,|avg_pool_3x3~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|skip_connect~2|,infer.tiny,16,5,57.73,52.70000000406901,52.913333294677734
1,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|skip_connect~2|,infer.tiny,16,5,99.43733333333334,69.82666660970052,70.29333330078126
2,|avg_pool_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|avg_pool_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,infer.tiny,16,5,59.742,54.300000000000004,54.86666662190755
3,|avg_pool_3x3~0|+|skip_connect~0|none~1|+|none~0|none~1|skip_connect~2|,infer.tiny,16,5,62.855999999999995,57.41333326416015,58.30666665039063
4,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|nor_conv_1x1~2|,infer.tiny,16,5,66.00266666666667,59.56666666259766,60.14000000406901
5,|nor_conv_1x1~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|avg_pool_3x3~2|,infer.tiny,16,5,95.89133333333332,66.2266666381836,66.29999996948241
6,|nor_conv_3x3~0|+|none~0|none~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,infer.tiny,16,5,98.17200000000001,68.6533333211263,68.35999997151693
7,|none~0|+|skip_connect~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,infer.tiny,16,5,91.104,67.13333331298827,67.51333329671223
8,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,infer.tiny,16,5,93.86866666666667,67.81333331705729,68.31333326416016
9,|avg_pool_3x3~0|+|none~0|none~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,infer.tiny,16,5,63.26866666666666,57.806666634114585,58.093333339436846
10,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_3x3~1|+|none~0|none~1|none~2|,infer.tiny,16,5,1.0,0.999999999109904,0.9999999996185304
11,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,infer.tiny,16,5,96.10266666666666,67.45333331705729,67.60666667073568
12,|none~0|+|none~0|none~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|,infer.tiny,16,5,1.0,0.9999999996185304,0.9999999994913736
13,|none~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_1x1~2|,infer.tiny,16,5,91.79733333333333,67.60666662190755,67.49999995524088
14,|nor_conv_3x3~0|+|none~0|nor_conv_1x1~1|+|nor_conv_3x3~0|none~1|none~2|,infer.tiny,16,5,90.43799999999999,66.95999997355143,67.26666662190756
15,|skip_connect~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|none~1|avg_pool_3x3~2|,infer.tiny,16,5,33.03333333333334,31.839999989827476,32.42666666056315
16,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,infer.tiny,16,5,98.67,68.86666665445964,69.24000000000001
17,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|skip_connect~1|nor_conv_1x1~2|,infer.tiny,16,5,90.44200000000001,64.51333329874676,64.21333326009115
18,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|skip_connect~1|nor_conv_1x1~2|,infer.tiny,16,5,96.78000000000002,64.80666665852864,64.92666666259765
19,|nor_conv_3x3~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,infer.tiny,16,5,81.39866666666667,61.36000000000001,62.159999971516925
20,|none~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|skip_connect~0|nor_conv_3x3~1|nor_conv_3x3~2|,infer.tiny,16,5,83.89266666666667,63.893333306884756,64.15333328857422
21,|nor_conv_1x1~0|+|none~0|none~1|+|nor_conv_1x1~0|nor_conv_3x3~1|none~2|,infer.tiny,16,5,92.842,68.96666669514974,69.39999995524089
22,|avg_pool_3x3~0|+|avg_pool_3x3~0|none~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_1x1~2|,infer.tiny,16,5,84.49933333333333,63.01333331705729,63.51333329671223
23,|skip_connect~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|avg_pool_3x3~2|,infer.tiny,16,5,85.10666666666667,63.23333326822917,62.86000000610352
24,|skip_connect~0|+|skip_connect~0|nor_conv_1x1~1|+|none~0|skip_connect~1|avg_pool_3x3~2|,infer.tiny,16,5,60.048,54.526666646321615,54.999999991861976
25,|skip_connect~0|+|none~0|skip_connect~1|+|none~0|none~1|skip_connect~2|,infer.tiny,16,5,63.05466666666666,57.29999997151693,58.406666642252596
26,|nor_conv_1x1~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_1x1~0|avg_pool_3x3~1|skip_connect~2|,infer.tiny,16,5,83.534,65.50000000813803,66.01333329264322
27,|avg_pool_3x3~0|+|skip_connect~0|nor_conv_1x1~1|+|nor_conv_1x1~0|nor_conv_1x1~1|none~2|,infer.tiny,16,5,80.34733333333332,64.79333331095377,64.78666666056314
28,|nor_conv_1x1~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|avg_pool_3x3~1|skip_connect~2|,infer.tiny,16,5,58.858000000000004,53.67999997762045,53.42666665852865
